Country/Region,Date,Confirmed,Active,Recovered,Deaths,Latitude,Longitude
Vietnam,2020-01-28,0.0,0.0,0.0,0.0,14.0,108.0
South Korea,2020-01-28,0.0,0.0,0.0,0.0,36.0,128.0
Taiwan,2020-01-28,3.0,3.0,0.0,0.0,24.0,121.0
Thailand,2020-01-28,6.0,3.0,3.0,0.0,16.0,101.0
Germany,2020-01-28,0.0,0.0,0.0,0.0,51.0,9.0
Japan,2020-01-29,0.0,0.0,0.0,0.0,36.0,138.0
France,2020-01-29,1.0,1.0,0.0,0.0,47.0,2.0
Hong Kong,2020-01-29,2.0,2.0,0.0,0.0,0.0,0.0
Vietnam,2020-01-29,0.0,0.0,0.0,0.0,14.0,108.0
Malaysia,2020-01-29,3.0,3.0,0.0,0.0,4.0,102.0
South Korea,2020-01-29,0.0,0.0,0.0,0.0,36.0,128.0
Canada,2020-01-29,0.0,0.0,0.0,0.0,60.0,-110.0
Thailand,2020-01-29,0.0,0.0,0.0,0.0,16.0,101.0
Nepal,2020-01-29,0.0,0.0,0.0,0.0,28.0,84.0
Sri Lanka,2020-01-29,0.0,0.0,0.0,0.0,8.0,81.0
Singapore,2020-01-29,0.0,0.0,0.0,0.0,1.0,104.0
Germany,2020-01-29,0.0,0.0,0.0,0.0,51.0,9.0
Cambodia,2020-01-29,0.0,0.0,0.0,0.0,12.0,105.0
Australia,2020-01-29,0.0,0.0,0.0,0.0,-25.0,133.0
US,2020-01-29,0.0,0.0,0.0,0.0,40.0,-90.0
China,2020-01-29,576.0,555.0,19.0,2.0,35.0,103.0
United Arab Emirates,2020-01-29,0.0,0.0,0.0,0.0,23.0,54.0
Finland,2020-01-29,0.0,0.0,0.0,0.0,62.0,26.0
Taiwan,2020-01-29,0.0,0.0,0.0,0.0,24.0,121.0
US,2020-01-30,0.0,0.0,0.0,0.0,40.0,-90.0
India,2020-01-30,0.0,0.0,0.0,0.0,21.0,78.0
Canada,2020-01-30,1.0,1.0,0.0,0.0,60.0,-110.0
Germany,2020-01-30,0.0,0.0,0.0,0.0,51.0,9.0
China,2020-01-30,2054.0,2001.0,15.0,38.0,35.0,103.0
United Arab Emirates,2020-01-30,0.0,0.0,0.0,0.0,23.0,54.0
Cambodia,2020-01-30,0.0,0.0,0.0,0.0,12.0,105.0
Australia,2020-01-30,4.0,2.0,2.0,0.0,-25.0,133.0
Hong Kong,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0
Finland,2020-01-30,0.0,0.0,0.0,0.0,62.0,26.0
Japan,2020-01-30,4.0,4.0,0.0,0.0,36.0,138.0
Thailand,2020-01-30,0.0,0.0,0.0,0.0,16.0,101.0
Malaysia,2020-01-30,1.0,1.0,0.0,0.0,4.0,102.0
Vietnam,2020-01-30,0.0,0.0,0.0,0.0,14.0,108.0
France,2020-01-30,0.0,0.0,0.0,0.0,47.0,2.0
Sri Lanka,2020-01-30,0.0,0.0,0.0,0.0,8.0,81.0
Singapore,2020-01-30,3.0,3.0,0.0,0.0,1.0,104.0
Nepal,2020-01-30,0.0,0.0,0.0,0.0,28.0,84.0
Philippines,2020-01-30,1.0,1.0,0.0,0.0,13.0,122.0
Taiwan,2020-01-30,1.0,1.0,0.0,0.0,24.0,121.0
South Korea,2020-01-30,0.0,0.0,0.0,0.0,36.0,128.0
Cambodia,2020-01-31,0.0,0.0,0.0,0.0,12.0,105.0
Sweden,2020-01-31,0.0,0.0,0.0,0.0,63.0,16.0
Singapore,2020-01-31,3.0,3.0,0.0,0.0,1.0,104.0
Italy,2020-01-31,0.0,0.0,0.0,0.0,43.0,12.0
Finland,2020-01-31,0.0,0.0,0.0,0.0,62.0,26.0
Thailand,2020-01-31,5.0,5.0,0.0,0.0,16.0,101.0
South Korea,2020-01-31,7.0,7.0,0.0,0.0,36.0,128.0
Vietnam,2020-01-31,0.0,0.0,0.0,0.0,14.0,108.0
Nepal,2020-01-31,0.0,0.0,0.0,0.0,28.0,84.0
Canada,2020-01-31,0.0,0.0,0.0,0.0,60.0,-110.0
Sri Lanka,2020-01-31,0.0,0.0,0.0,0.0,8.0,81.0
China,2020-01-31,1659.0,1538.0,79.0,42.0,35.0,103.0
Taiwan,2020-01-31,1.0,1.0,0.0,0.0,24.0,121.0
India,2020-01-31,0.0,0.0,0.0,0.0,21.0,78.0
